HomePlanet,CryoSleep,Destination,Age,VIP,CabinDeck,CabinNumber,CabinSide,TotalSpent
Mars,False,TRAPPIST-1e,21.0,False,D,8,P,3261.0
Europa,False,TRAPPIST-1e,33.0,False,C,10,S,9684.0
Earth,False,TRAPPIST-1e,30.0,False,F,53,P,1571.0
Earth,False,TRAPPIST-1e,29.0,False,G,42,P,888.0
Earth,False,TRAPPIST-1e,21.0,False,F,54,P,1290.0
Europa,True,TRAPPIST-1e,24.0,False,A,3,S,0.0
Mars,True,TRAPPIST-1e,60.0,False,F,49,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,F,50,S,704.0
Europa,False,TRAPPIST-1e,26.0,False,E,16,S,7845.0
Earth,False,TRAPPIST-1e,26.0,False,F,56,P,898.0
Earth,True,TRAPPIST-1e,28.0,False,G,43,P,0.0
Earth,False,TRAPPIST-1e,13.0,False,F,51,S,873.0
Earth,False,55 Cancri e,47.0,False,F,52,S,823.0
Earth,False,TRAPPIST-1e,63.0,False,F,59,P,1393.0
Earth,False,55 Cancri e,50.0,False,F,61,P,2487.0
Earth,False,TRAPPIST-1e,45.0,False,G,45,P,444.0
Earth,False,TRAPPIST-1e,19.0,False,F,63,P,2078.0
Earth,False,TRAPPIST-1e,21.0,False,F,54,S,918.0
Earth,True,PSO J318.5-22,29.0,False,G,46,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,F,64,P,803.0
Europa,True,TRAPPIST-1e,14.0,False,E,16,P,0.0
Europa,True,55 Cancri e,42.0,False,E,16,P,0.0
Earth,False,55 Cancri e,57.0,False,F,65,P,1488.0
Europa,False,TRAPPIST-1e,28.0,False,B,12,P,2085.0
Earth,False,55 Cancri e,19.0,False,F,55,S,828.0
Europa,True,55 Cancri e,19.0,False,C,12,S,0.0
Europa,False,55 Cancri e,26.0,False,B,7,S,5877.0
Europa,True,TRAPPIST-1e,17.0,False,B,7,S,0.0
Europa,False,55 Cancri e,9.0,False,B,7,S,0.0
Europa,False,TRAPPIST-1e,40.0,False,D,10,S,7678.0
Earth,False,TRAPPIST-1e,24.0,False,G,47,P,1433.0
Europa,True,55 Cancri e,57.0,False,A,3,P,0.0
Earth,False,TRAPPIST-1e,23.0,False,F,67,P,1385.0
Europa,False,TRAPPIST-1e,28.0,False,E,18,S,7439.0
Europa,False,55 Cancri e,23.0,False,C,7,P,3073.0
Earth,False,TRAPPIST-1e,23.0,False,E,19,S,904.0
Earth,False,TRAPPIST-1e,18.0,False,F,59,S,1359.0
Earth,False,TRAPPIST-1e,18.0,False,F,60,S,1357.0
Earth,False,PSO J318.5-22,60.0,False,F,68,P,552.0
Earth,False,55 Cancri e,49.0,False,F,68,P,649.0
Earth,False,55 Cancri e,0.0,False,G,50,P,0.0
Earth,False,55 Cancri e,26.0,False,G,51,P,1790.0
Earth,True,PSO J318.5-22,13.0,False,G,45,S,0.0
Earth,True,55 Cancri e,43.0,False,G,53,P,0.0
Earth,True,TRAPPIST-1e,29.0,False,G,47,S,0.0
Europa,False,TRAPPIST-1e,2.0,False,C,14,S,0.0
Europa,False,TRAPPIST-1e,33.0,False,C,14,S,2168.0
Earth,False,TRAPPIST-1e,25.0,False,F,72,P,803.0
Mars,True,55 Cancri e,29.0,False,F,73,P,0.0
Mars,False,TRAPPIST-1e,29.0,False,F,62,S,7404.0
Earth,False,TRAPPIST-1e,44.0,False,F,74,P,712.0
Mars,True,55 Cancri e,2.0,False,F,63,S,0.0
Mars,False,TRAPPIST-1e,19.0,False,F,63,S,2460.0
Europa,True,55 Cancri e,38.0,False,B,10,S,0.0
Earth,True,PSO J318.5-22,5.0,False,G,57,P,0.0
Earth,False,PSO J318.5-22,31.0,False,F,76,P,1302.0
Mars,True,TRAPPIST-1e,30.0,False,E,21,S,0.0
Earth,True,55 Cancri e,15.0,False,G,59,P,0.0
Mars,False,TRAPPIST-1e,27.0,False,F,64,S,1868.0
Mars,False,TRAPPIST-1e,22.0,False,D,12,P,3223.0
Earth,True,PSO J318.5-22,14.0,False,G,60,P,0.0
Mars,False,TRAPPIST-1e,23.0,False,F,78,P,4976.0
Europa,True,55 Cancri e,36.0,False,B,15,P,0.0
Earth,True,TRAPPIST-1e,50.0,False,G,50,S,0.0
Earth,True,PSO J318.5-22,32.0,False,G,50,S,0.0
Earth,False,PSO J318.5-22,26.0,False,F,66,S,689.0
Earth,False,TRAPPIST-1e,15.0,False,F,67,S,715.0
Earth,False,55 Cancri e,33.0,False,F,68,S,733.0
Mars,False,TRAPPIST-1e,26.0,False,F,82,P,7405.0
Mars,True,TRAPPIST-1e,61.0,False,F,82,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,G,53,S,827.0
Earth,False,TRAPPIST-1e,30.0,False,F,83,P,1559.0
Mars,True,TRAPPIST-1e,24.0,False,F,84,P,0.0
Earth,True,TRAPPIST-1e,41.0,False,G,62,P,0.0
Earth,False,TRAPPIST-1e,20.0,False,E,22,P,788.0
Earth,False,TRAPPIST-1e,22.0,False,G,54,S,908.0
Europa,False,55 Cancri e,63.0,False,C,15,S,9432.0
Europa,False,55 Cancri e,18.0,False,B,11,S,6065.0
Europa,True,55 Cancri e,21.0,False,B,11,S,0.0
Europa,False,TRAPPIST-1e,79.0,False,B,11,S,10645.0
Europa,True,TRAPPIST-1e,56.0,False,B,11,S,0.0
Europa,True,TRAPPIST-1e,13.0,False,B,11,S,0.0
Europa,False,TRAPPIST-1e,33.0,False,B,11,S,4729.0
Europa,True,TRAPPIST-1e,32.0,False,B,11,S,0.0
Earth,False,TRAPPIST-1e,31.0,False,G,63,P,953.0
Europa,True,55 Cancri e,18.0,False,B,16,P,0.0
Earth,False,TRAPPIST-1e,28.0,False,G,55,S,4688.0
Earth,True,PSO J318.5-22,34.0,False,G,55,S,0.0
Earth,False,55 Cancri e,0.0,False,G,56,S,0.0
Earth,False,TRAPPIST-1e,14.0,False,G,56,S,909.0
Earth,False,TRAPPIST-1e,23.0,False,G,65,P,888.0
Earth,True,TRAPPIST-1e,49.0,False,G,66,P,0.0
Earth,True,TRAPPIST-1e,14.0,False,G,57,S,0.0
Earth,False,TRAPPIST-1e,18.0,False,E,23,P,791.0
Europa,False,PSO J318.5-22,27.0,True,C,9,P,6784.0
Earth,False,TRAPPIST-1e,48.0,False,E,24,P,1619.0
Europa,False,55 Cancri e,31.0,True,B,17,P,25400.0
Europa,False,55 Cancri e,61.0,False,B,17,P,4445.0
Earth,True,TRAPPIST-1e,18.0,False,G,59,S,0.0
Mars,True,TRAPPIST-1e,45.0,False,F,69,S,0.0
Mars,False,TRAPPIST-1e,22.0,False,D,13,S,6498.0
Mars,False,TRAPPIST-1e,30.0,True,D,14,S,1056.0
Mars,False,TRAPPIST-1e,30.0,False,D,14,S,1783.0
Mars,False,TRAPPIST-1e,43.0,True,D,13,P,1251.0
Earth,False,TRAPPIST-1e,20.0,False,F,90,P,693.0
Earth,True,TRAPPIST-1e,39.0,False,G,69,P,0.0
Mars,False,TRAPPIST-1e,35.0,False,E,25,P,1299.0
Mars,False,TRAPPIST-1e,31.0,False,F,71,S,1118.0
Earth,False,55 Cancri e,21.0,False,F,72,S,717.0
Earth,False,TRAPPIST-1e,16.0,False,F,91,P,932.0
Europa,False,TRAPPIST-1e,60.0,False,C,11,P,14744.0
Earth,False,TRAPPIST-1e,18.0,False,F,92,P,569.0
Earth,True,TRAPPIST-1e,42.0,False,G,60,S,0.0
Europa,True,55 Cancri e,68.0,False,B,18,P,0.0
Europa,False,55 Cancri e,22.0,False,B,18,P,7878.0
Europa,True,TRAPPIST-1e,59.0,False,B,18,P,0.0
Mars,False,TRAPPIST-1e,37.0,False,F,96,P,1157.0
Mars,True,TRAPPIST-1e,3.0,False,F,96,P,0.0
Mars,True,TRAPPIST-1e,31.0,False,F,96,P,0.0
Europa,False,TRAPPIST-1e,29.0,False,C,16,S,7972.0
Europa,False,55 Cancri e,20.0,False,A,5,S,10345.0
Europa,True,55 Cancri e,46.0,False,A,5,S,0.0
Earth,False,TRAPPIST-1e,29.0,False,F,75,S,1042.0
Mars,True,TRAPPIST-1e,43.0,False,F,97,P,0.0
Mars,False,TRAPPIST-1e,17.0,False,F,76,S,1493.0
Europa,False,TRAPPIST-1e,47.0,False,B,20,P,7513.0
Mars,True,TRAPPIST-1e,45.0,False,F,77,S,0.0
Earth,True,TRAPPIST-1e,17.0,False,G,62,S,0.0
Earth,False,55 Cancri e,10.0,False,G,63,S,0.0
Earth,False,PSO J318.5-22,56.0,False,G,63,S,679.0
Earth,False,TRAPPIST-1e,39.0,False,F,78,S,871.0
Earth,False,PSO J318.5-22,40.0,False,F,78,S,873.0
Earth,False,55 Cancri e,32.0,False,F,79,S,722.0
Earth,False,TRAPPIST-1e,35.0,False,F,98,P,1050.0
Mars,False,TRAPPIST-1e,32.0,True,D,15,P,3015.0
Earth,False,TRAPPIST-1e,25.0,False,F,80,S,2175.0
Europa,True,55 Cancri e,22.0,False,B,21,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,F,81,S,804.0
Earth,False,TRAPPIST-1e,24.0,False,E,27,P,789.0
Earth,True,TRAPPIST-1e,11.0,False,G,64,S,0.0
Mars,True,TRAPPIST-1e,22.0,False,E,26,S,0.0
Europa,True,TRAPPIST-1e,19.0,False,B,14,S,0.0
Europa,True,TRAPPIST-1e,74.0,False,B,14,S,0.0
Europa,True,TRAPPIST-1e,42.0,False,B,15,S,0.0
Europa,True,TRAPPIST-1e,43.0,False,B,15,S,0.0
Earth,False,TRAPPIST-1e,55.0,False,F,83,S,715.0
Earth,False,PSO J318.5-22,19.0,False,G,72,P,773.0
Earth,True,TRAPPIST-1e,6.0,False,G,72,P,0.0
Earth,False,TRAPPIST-1e,7.0,False,G,72,P,0.0
Europa,True,55 Cancri e,28.0,False,D,16,S,0.0
Earth,False,TRAPPIST-1e,15.0,False,F,84,S,2217.0
Earth,True,PSO J318.5-22,24.0,False,G,65,S,0.0
Earth,False,PSO J318.5-22,31.0,False,E,27,S,869.0
Earth,False,TRAPPIST-1e,22.0,False,F,85,S,884.0
Earth,False,55 Cancri e,1.0,False,G,66,S,0.0
Mars,False,TRAPPIST-1e,14.0,False,F,100,P,1861.0
Earth,False,TRAPPIST-1e,19.0,False,E,28,P,1620.0
Earth,False,TRAPPIST-1e,36.0,False,F,101,P,865.0
Europa,False,TRAPPIST-1e,16.0,False,B,22,P,5400.0
Europa,False,55 Cancri e,30.0,False,B,22,P,7976.0
Earth,False,PSO J318.5-22,37.0,False,F,87,S,862.0
Earth,True,55 Cancri e,15.0,False,G,69,S,0.0
Earth,False,TRAPPIST-1e,36.0,False,E,29,P,990.0
Mars,True,TRAPPIST-1e,27.0,False,F,103,P,0.0
Mars,True,TRAPPIST-1e,12.0,False,F,103,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,E,30,P,1624.0
Earth,True,TRAPPIST-1e,13.0,False,G,70,S,0.0
Earth,False,TRAPPIST-1e,27.0,False,E,28,S,788.0
Earth,False,TRAPPIST-1e,28.0,False,F,88,S,629.0
Europa,False,55 Cancri e,21.0,False,B,17,S,3436.0
Earth,True,TRAPPIST-1e,14.0,False,G,71,S,0.0
Mars,True,55 Cancri e,27.0,False,F,89,S,0.0
Mars,False,TRAPPIST-1e,21.0,False,E,29,S,0.0
Mars,False,55 Cancri e,21.0,False,D,19,P,2344.0
Mars,False,TRAPPIST-1e,10.0,False,F,90,S,0.0
Mars,False,TRAPPIST-1e,43.0,False,F,90,S,1897.0
Mars,False,TRAPPIST-1e,42.0,False,E,31,S,1297.0
Europa,True,55 Cancri e,18.0,False,B,19,S,0.0
Europa,True,55 Cancri e,54.0,False,B,19,S,0.0
Europa,False,TRAPPIST-1e,64.0,False,B,19,S,2901.0
Europa,True,55 Cancri e,18.0,False,B,19,S,0.0
Mars,True,TRAPPIST-1e,23.0,False,F,91,S,0.0
Earth,False,TRAPPIST-1e,39.0,False,G,74,S,0.0
Europa,False,TRAPPIST-1e,59.0,False,C,16,P,16844.0
Europa,False,55 Cancri e,32.0,False,D,18,S,5936.0
Europa,True,TRAPPIST-1e,55.0,False,D,18,S,0.0
Earth,True,PSO J318.5-22,21.0,False,G,78,P,0.0
Europa,True,TRAPPIST-1e,50.0,False,B,20,S,0.0
Europa,False,55 Cancri e,55.0,False,A,6,S,5022.0
Earth,False,TRAPPIST-1e,42.0,False,E,33,P,906.0
Earth,False,TRAPPIST-1e,35.0,False,E,33,S,2505.0
Mars,True,TRAPPIST-1e,34.0,False,F,93,S,0.0
Europa,False,TRAPPIST-1e,46.0,False,C,17,P,11141.0
Earth,True,PSO J318.5-22,26.0,False,G,81,P,0.0
Earth,True,55 Cancri e,1.0,False,G,82,P,0.0
Mars,False,TRAPPIST-1e,33.0,False,D,21,P,961.0
Europa,False,TRAPPIST-1e,34.0,False,B,23,P,8476.0
Europa,False,TRAPPIST-1e,49.0,False,B,23,P,5863.0
Earth,False,TRAPPIST-1e,22.0,False,G,83,P,677.0
Earth,False,TRAPPIST-1e,28.0,False,F,110,P,1078.0
Europa,True,55 Cancri e,36.0,False,C,18,P,0.0
Europa,True,TRAPPIST-1e,49.0,False,C,18,P,0.0
Europa,False,TRAPPIST-1e,38.0,False,C,18,P,7268.0
Mars,True,TRAPPIST-1e,31.0,False,F,95,S,0.0
Earth,False,TRAPPIST-1e,26.0,False,G,84,P,887.0
Earth,False,TRAPPIST-1e,23.0,False,F,111,P,740.0
Earth,False,55 Cancri e,24.0,False,F,96,S,2459.0
Earth,False,TRAPPIST-1e,23.0,False,F,97,S,865.0
Earth,False,TRAPPIST-1e,24.0,False,E,36,S,791.0
Mars,False,PSO J318.5-22,32.0,False,D,19,S,919.0
Mars,True,TRAPPIST-1e,43.0,False,F,98,S,0.0
Earth,False,TRAPPIST-1e,23.0,False,F,99,S,787.0
Earth,False,TRAPPIST-1e,42.0,False,G,80,S,849.0
Europa,True,55 Cancri e,29.0,False,C,21,S,0.0
Europa,True,TRAPPIST-1e,40.0,False,C,19,P,0.0
Europa,False,TRAPPIST-1e,37.0,False,C,19,P,7270.0
Europa,True,55 Cancri e,61.0,False,C,20,P,0.0
Europa,False,TRAPPIST-1e,33.0,False,C,20,P,2691.0
Earth,False,TRAPPIST-1e,19.0,False,F,100,S,1448.0
Earth,False,PSO J318.5-22,21.0,False,F,102,S,671.0
Earth,False,TRAPPIST-1e,4.0,False,G,81,S,0.0
Earth,False,PSO J318.5-22,12.0,False,G,81,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,G,82,S,774.0
Mars,False,55 Cancri e,33.0,False,F,114,P,1905.0
Europa,True,55 Cancri e,32.0,False,B,24,P,0.0
Europa,True,TRAPPIST-1e,28.0,False,B,24,P,0.0
Mars,False,TRAPPIST-1e,31.0,False,F,115,P,1309.0
Mars,True,TRAPPIST-1e,13.0,False,E,37,S,0.0
Earth,True,TRAPPIST-1e,14.0,False,G,83,S,0.0
Earth,False,TRAPPIST-1e,23.0,False,F,116,P,644.0
Europa,False,TRAPPIST-1e,36.0,True,C,22,S,6634.0
Europa,True,55 Cancri e,22.0,False,C,21,P,0.0
Europa,True,TRAPPIST-1e,19.0,False,C,21,P,0.0
Europa,True,TRAPPIST-1e,42.0,False,C,21,P,0.0
Europa,True,55 Cancri e,16.0,False,C,21,P,0.0
Europa,False,TRAPPIST-1e,55.0,False,C,21,P,4924.0
Europa,True,TRAPPIST-1e,55.0,False,C,21,P,0.0
Earth,False,TRAPPIST-1e,19.0,False,F,105,S,2786.0
Europa,True,TRAPPIST-1e,18.0,False,E,34,P,0.0
Earth,False,TRAPPIST-1e,65.0,False,G,86,P,626.0
Earth,False,TRAPPIST-1e,55.0,False,F,108,S,880.0
Earth,True,TRAPPIST-1e,49.0,False,G,87,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,E,38,S,788.0
Mars,True,TRAPPIST-1e,33.0,False,F,118,P,0.0
Mars,True,TRAPPIST-1e,3.0,False,F,109,S,0.0
Mars,True,TRAPPIST-1e,0.0,False,F,109,S,0.0
Mars,True,TRAPPIST-1e,33.0,False,F,109,S,0.0
Mars,True,TRAPPIST-1e,48.0,False,F,120,P,0.0
